ats,token,job_id,relevance,seniority,note
greenhouse, apply_now, Graduate Trader, less relevant, new_grad, Trader role - could also be junior_0_2. No programming or math skills indicated so less likely to be a quant role
greenhouse, apply_now, Quantitative Research / Developer - Intern, adjacent, junior_0_2, Could also be mid_3_5. This is a quant dev/infrastructure role, so less relevant for me as i want a modelling/quant research role.
greenhouse, apply_now, Quantitative Trading Associate, adjacent, mid_3_5, This is more towards operations/engineering, but very close to what im looking for - financial modelling and quant research. 
